symbol,timestamp,open,high,low,close,volume,trade_count,vwap
TSLA,2022-04-07 00:00:00-04,1052.39,1076.59,1021.5401,1057.26,26482353.0,771755.0,1051.033263
TSLA,2022-04-08 00:00:00-04,1043.32,1048.44,1022.435,1025.49,18763593.0,578908.0,1033.858824
TSLA,2022-04-11 00:00:00-04,980.4,1008.4681,974.64,975.93,19990460.0,756595.0,987.954049
TSLA,2022-04-12 00:00:00-04,997.64,1021.1921,976.6001,986.95,22602533.0,615652.0,997.315971
TSLA,2022-04-13 00:00:00-04,981.075,1026.24,973.097,1022.37,18801401.0,521652.0,1006.042127
TSLA,2022-04-14 00:00:00-04,999.29,1012.7099,982.19,985.0,20485645.0,580186.0,990.874217
TSLA,2022-04-18 00:00:00-04,989.03,1014.92,973.41,1004.29,17544519.0,544523.0,997.328317
TSLA,2022-04-19 00:00:00-04,1005.06,1034.94,995.325,1028.15,17146925.0,527909.0,1021.80023
TSLA,2022-04-20 00:00:00-04,1030.0,1034.0,975.2501,977.2,24210107.0,864911.0,993.176448
TSLA,2022-04-21 00:00:00-04,1074.73,1092.22,996.415,1008.78,35784091.0,1119159.0,1045.323642
TSLA,2022-04-22 00:00:00-04,1014.91,1034.85,994.0001,1005.05,23771812.0,687821.0,1013.655901
TSLA,2022-04-25 00:00:00-04,978.97,1008.62,975.3,998.02,23359892.0,719908.0,993.294296
TSLA,2022-04-26 00:00:00-04,995.43,1000.0,875.0,876.42,46317045.0,1570851.0,910.842956
TSLA,2022-04-27 00:00:00-04,898.58,918.0,877.36,881.51,25911007.0,913173.0,897.360511
TSLA,2022-04-28 00:00:00-04,899.98,900.0,821.7,877.51,42238147.0,1367548.0,859.112153
TSLA,2022-04-29 00:00:00-04,902.25,934.3999,870.0,870.76,30278926.0,887200.0,900.415732
TSLA,2022-05-02 00:00:00-04,860.77,906.3599,848.03,902.94,25994801.0,786413.0,878.232342
TSLA,2022-05-03 00:00:00-04,903.18,924.08,888.59,909.25,21733006.0,607316.0,908.690813
TSLA,2022-05-04 00:00:00-04,903.94,955.5,885.28,952.62,28143234.0,728809.0,919.750085
TSLA,2022-05-05 00:00:00-04,939.21,945.6,857.7,873.28,31821412.0,1016723.0,889.021078
TSLA,2022-05-06 00:00:00-04,887.0,888.0,843.105,865.65,24805733.0,787098.0,868.258095
TSLA,2022-05-09 00:00:00-04,836.45,845.63,781.15,787.11,31114166.0,1135045.0,808.958534
TSLA,2022-05-10 00:00:00-04,819.0,825.36,774.25,800.04,28782115.0,894446.0,800.546852
TSLA,2022-05-11 00:00:00-04,795.0,809.77,727.2,734.0,33120950.0,1144560.0,764.302139
TSLA,2022-05-12 00:00:00-04,701.0,759.66,680.0,728.0,47600415.0,1393019.0,721.526548
TSLA,2022-05-13 00:00:00-04,773.48,787.3499,751.565,769.59,31421666.0,860108.0,769.594271
TSLA,2022-05-16 00:00:00-04,767.16,769.76,719.0885,724.37,29171458.0,844610.0,739.84314
TSLA,2022-05-17 00:00:00-04,747.36,764.48,728.85,761.61,27343380.0,728841.0,750.721562
TSLA,2022-05-18 00:00:00-04,744.52,760.5,700.81,709.81,30021558.0,888564.0,723.691837
TSLA,2022-05-19 00:00:00-04,707.0,734.0,694.11,709.42,30298072.0,822375.0,712.925754
TSLA,2022-05-20 00:00:00-04,713.99,721.582,633.0,663.9,49100588.0,1678514.0,663.080297
TSLA,2022-05-23 00:00:00-04,655.02,679.9551,638.06,674.9,30255732.0,885450.0,663.280262
TSLA,2022-05-24 00:00:00-04,653.53,653.92,620.57,628.16,30370986.0,916176.0,636.096613
TSLA,2022-05-25 00:00:00-04,623.85,669.32,623.0101,658.8,31456989.0,773482.0,652.900456
TSLA,2022-05-26 00:00:00-04,661.42,718.6699,653.66,707.73,36103863.0,912916.0,696.45419
TSLA,2022-05-27 00:00:00-04,723.25,759.8,720.5311,759.63,30574317.0,770849.0,748.423044
TSLA,2022-05-31 00:00:00-04,773.56,778.8,734.23,758.26,34157647.0,869761.0,759.710139
TSLA,2022-06-01 00:00:00-04,755.16,771.98,730.92,740.37,26162027.0,663700.0,746.826341
TSLA,2022-06-02 00:00:00-04,732.47,792.63,726.2,775.0,31680389.0,762174.0,771.346847
TSLA,2022-06-03 00:00:00-04,729.675,743.3899,700.2534,703.55,38129804.0,1089426.0,713.666016
TSLA,2022-06-06 00:00:00-04,733.06,734.6,703.05,714.84,28468894.0,751097.0,716.039142
TSLA,2022-06-07 00:00:00-04,702.0,719.99,690.28,716.66,24816813.0,641262.0,710.487241
TSLA,2022-06-08 00:00:00-04,720.26,749.89,717.53,725.6,25829172.0,683901.0,734.826464
TSLA,2022-06-09 00:00:00-04,748.02,766.6399,717.98,719.12,32689850.0,876383.0,742.577296
